,id,rank,adult,title,status,country,imdb_id,runtime,tvdb_id,language,mediatype,release_date,release_year,spoken_language,imdb,tmdb,tvdb,mdblist
151,15916,152,0,Angel's Egg,Released,jp,tt0208502,71.0,,ja,movie,1985-12-22,1985.0,ja,tt0208502,15916,,7en
152,41498,153,0,One Piece Film: Strong World,Released,jp,tt1485763,114.0,3387.0,ja,movie,2009-12-12,2009.0,ja,tt1485763,41498,3387.0,56l
153,14919,154,0,Batman: Mask of the Phantasm,Released,us,tt0106364,76.0,6057.0,en,movie,1993-12-25,1993.0,en,tt0106364,14919,6057.0,2mh
154,11299,155,0,Cowboy Bebop: The Movie,Released,jp,tt0275277,115.0,3646.0,ja,movie,2001-09-01,2001.0,ja,tt0275277,11299,3646.0,2i0
155,11970,156,0,Hercules,released,us,tt0119282,93.0,935.0,en,movie,1997-06-13,1997.0,en,tt0119282,11970,935.0,r0
156,55931,157,0,The Animatrix,Released,us,tt0328832,102.0,,en,movie,2003-05-09,2003.0,en,tt0328832,55931,,3hr6a
157,1159311,158,0,My Hero Academia: You're Next,released,jp,tt32176689,110.0,348893.0,ja,movie,2024-08-02,2024.0,ja,tt32176689,1159311,348893.0,350qw
158,900667,159,0,One Piece Film Red,Released,jp,tt16183464,115.0,318462.0,ja,movie,2022-08-06,2022.0,ja,tt16183464,900667,318462.0,2uh1o
159,828898,160,0,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,released,us,tt14636186,84.0,347100.0,en,movie,2023-07-21,2023.0,en,tt14636186,828898,347100.0,2q68i
160,664996,161,0,Apollo 10½: A Space Age Childhood,released,us,tt7978758,97.0,163283.0,en,movie,2022-03-24,2022.0,en,tt7978758,664996,163283.0,kknw
161,10545,162,0,The Hunchback of Notre Dame,released,us,tt0116583,91.0,520.0,en,movie,1996-06-21,1996.0,en,tt0116583,10545,520.0,bi56
162,13754,163,0,Tekkonkinkreet,Released,jp,tt0831888,103.0,4748.0,ja,movie,2006-10-21,2006.0,ja,tt0831888,13754,4748.0,b5gm
163,504827,164,0,The Bob's Burgers Movie,Released,us,tt7466442,102.0,133394.0,en,movie,2022-05-26,2022.0,en,tt7466442,504827,133394.0,2a3a
164,642538,165,0,Inu-Oh,released,jp,tt10540510,98.0,310832.0,ja,movie,2022-05-28,2022.0,ja,tt10540510,642538,310832.0,1vco
165,521296,166,0,Okko's Inn,released,jp,tt8328740,94.0,,ja,movie,2018-09-12,2018.0,ja,tt8328740,521296,,1c4z
166,530079,167,0,Ride Your Wave,Released,jp,tt9193612,95.0,131138.0,ja,movie,2019-06-21,2019.0,ja,tt9193612,530079,131138.0,18ul
167,15374,168,0,A Boy Named Charlie Brown,Released,us,tt0064107,86.0,,en,movie,1969-12-04,1969.0,en,tt0064107,15374,,zf2
168,10340,169,0,Lady and the Tramp,Released,us,tt0048280,76.0,600.0,en,movie,1955-06-22,1955.0,en,tt0048280,10340,600.0,ykf
169,9325,170,0,The Jungle Book,Released,us,tt0061852,78.0,688.0,en,movie,1967-10-18,1967.0,en,tt0061852,9325,688.0,yjx
170,49565,171,0,The Man Who Planted Trees,Released,ca,tt0093488,30.0,12373.0,fr,movie,1987-05-13,1987.0,fr,tt0093488,49565,12373.0,bgw
